id;start_date;end_date;language
1;2024-08-31T21:05:13;2024-08-31T18:55:28;ENGLISH
2;2024-08-31T06:32:48;2024-08-31T15:58:17;FRENCH
3;2024-08-31T16:29:00;2024-08-31T04:34:08;SPANISH
4;2024-08-31T20:59:49;2024-08-31T02:26:08;FRENCH
5;2024-08-31T23:16:12;2024-08-31T07:35:10;ENGLISH
6;2024-08-31T08:46:55;2024-08-31T22:47:15;SPANISH
7;2024-08-31T16:50:43;2024-08-31T03:24:52;FRENCH
8;2024-08-31T07:16:36;2024-08-31T03:52:25;FRENCH
9;2024-08-31T08:08:14;2024-08-31T19:39:40;FRENCH
10;2024-08-31T04:05:12;2024-08-31T21:02:41;FRENCH
